id,key,value,type
5681584,separated,no,tiger
5681584,zip_right,11225,tiger
5681584,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5681660,name,Amboy Street,regular
5681660,oneway,yes,regular
5681660,highway,residential,regular
5681660,cfcc,A41,tiger
5681660,county,"Kings, NY",tiger
5681660,reviewed,no,tiger
5681660,zip_left,11212,tiger
5681660,name_base,Amboy,tiger
5681660,name_type,St,tiger
5681660,zip_right,11212,tiger
5682137,name,Coyle Street,regular
5682137,highway,residential,regular
5682137,zip_left,11235,tiger
5682137,zip_right,11235,tiger
5696872,name,East 215th Street,regular
5696872,oneway,yes,regular
5696872,highway,residential,regular
5696872,cfcc,A41,tiger
5696872,county,"Bronx, NY",tiger
5696872,reviewed,no,tiger
5696872,zip_left,10469,tiger
5696872,name_base,215th,tiger
5696872,name_type,St,tiger
5696872,zip_right,10469,tiger
5696872,name_direction_prefix,E,tiger
5696879,name,Montgomery Place,regular
5696879,oneway,yes,regular
5696879,highway,residential,regular
5696879,cfcc,A41,tiger
5696879,county,"Bronx, NY",tiger
5696879,reviewed,no,tiger
5696879,zip_left,10461,tiger
5696879,name_base,Montgomery,tiger
5696879,name_type,Pl,tiger
5696879,zip_right,10461,tiger
5697688,name,East 236th Street,regular
5697688,oneway,yes,regular
5697688,highway,residential,regular
5697688,cfcc,A41,tiger
5697688,county,"Bronx, NY",tiger
5697688,reviewed,no,tiger
5697688,zip_left,10470,tiger
5697688,name_base,236th,tiger
5697688,name_type,St,tiger
5697688,zip_right,10470,tiger
5697688,name_direction_prefix,E,tiger
5698222,name,Rochambeau Avenue,regular
5698222,oneway,yes,regular
5698222,highway,residential,regular
5698222,cfcc,A41,tiger
5698222,county,"Bronx, NY",tiger
5698222,reviewed,no,tiger
5698222,zip_left,10467,tiger
5698222,name_base,Rochambeau,tiger
5698222,name_type,Ave,tiger
5698222,zip_right,10467,tiger
5698785,name,East 159th Street,regular
5698785,oneway,yes,regular
5698785,highway,residential,regular
5698785,cfcc,A41,tiger
5698785,county,"Bronx, NY",tiger
5698785,reviewed,no,tiger
5698785,zip_left,10451,tiger
5698785,name_base,159th,tiger
5698785,name_type,St,tiger
5698785,zip_right,10451,tiger
5698785,name_direction_prefix,E,tiger
5698793,name,West 231st Street,regular
5698793,highway,residential,regular
5698793,cfcc,A41,tiger
5698793,county,"Bronx, NY",tiger
5698793,reviewed,no,tiger
5698793,zip_left,10463,tiger
5698793,name_base,231st,tiger
5698793,name_type,St,tiger
5698793,name_direction_prefix,W,tiger
5699010,name,Underhill Avenue,regular
5699010,highway,residential,regular
5699010,cfcc,A41,tiger
5699010,tlid,80304942:80304949,tiger
5699010,county,"Bronx, NY",tiger
5699010,source,tiger_import_dch_v0.6_20070829,tiger
5699010,zip_left,10472,tiger
5699010,name_base,Underhill,tiger
5699010,name_type,Ave,tiger
5699010,separated,no,tiger
5699010,zip_right,10472,tiger
5699010,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5703908,name,2nd Street,regular
5703908,highway,residential,regular
5703908,cfcc,A41,tiger
5703908,county,"Queens, NY",tiger
5703908,reviewed,no,tiger
5703908,zip_left,11102,tiger
5703908,name_base,2nd,tiger
5703908,name_type,St,tiger
5703908,zip_right,11102,tiger
5703988,name,228th Street,regular
5703988,highway,residential,regular
5703988,cfcc,A41,tiger
5703988,tlid,59730751,tiger
5703988,county,"Queens, NY",tiger
5703988,source,tiger_import_dch_v0.6_20070829,tiger
5703988,reviewed,no,tiger
5703988,zip_left,11364,tiger
5703988,name_base,228th,tiger
5703988,name_type,St,tiger
5703988,separated,no,tiger
5703988,zip_right,11364,tiger
5703988,upload_uuid,bulk_upload.pl-76c2f01f-97e8-4577-832a-27364377b656,tiger
5704756,name,Polhemus Avenue,regular
5704756,highway,residential,regular
5704756,cfcc,A41,tiger
5704756,county,"Queens, NY",tiger
5704756,reviewed,no,tiger
5704756,zip_left,11433,tiger
