id,key,value,type
357617138,county_id,081,gnis
357617138,feature_id,2079563,gnis
357619075,ele,21,regular
357619075,name,Saint Mark's Lutheran School,regular
357619075,amenity,school,regular
357619075,created,12/21/2005,gnis
357619075,state_id,36,gnis
357619075,county_id,047,gnis
357619075,feature_id,2081622,gnis
357624854,ele,38,regular
357624854,name,Austin J McDonald Playground,regular
357624854,leisure,park,regular
357624854,edited,01/15/2008,gnis
357624854,created,12/18/2006,gnis
357624854,state_id,36,gnis
357624854,county_id,085,gnis
357624854,feature_id,2100508,gnis
357628640,ele,27,regular
357628640,name,Travis Triangle,regular
357628640,leisure,park,regular
357628640,created,08/10/2007,gnis
357628640,state_id,36,gnis
357628640,county_id,081,gnis
357628640,feature_id,2330898,gnis
357632916,ele,6,regular
357632916,name,Bailey Playground,regular
357632916,leisure,park,regular
357632916,created,12/12/2007,gnis
357632916,state_id,36,gnis
357632916,county_id,005,gnis
357632916,feature_id,2368933,gnis
357649980,ele,7,regular
357649980,name,First Calvary Baptist Church,regular
357649980,amenity,place_of_worship,regular
357649980,religion,christian,regular
357649980,denomination,baptist,regular
357649980,created,09/25/2008,gnis
357649980,state_id,36,gnis
357649980,county_id,059,gnis
357649980,feature_id,2499001,gnis
357651594,ele,27,regular
357651594,name,Covenant Church,regular
357651594,amenity,place_of_worship,regular
357651594,religion,christian,regular
357651594,created,11/12/2008,gnis
357651594,state_id,36,gnis
357651594,county_id,081,gnis
357651594,feature_id,2508802,gnis
357729212,ele,19,regular
357729212,name,Saint Pauls School,regular
357729212,amenity,school,regular
357729212,created,09/08/1979,gnis
357729212,state_id,34,gnis
357729212,county_id,017,gnis
357729212,feature_id,880169,gnis
357730375,ele,96,regular
357730375,name,Speedwell Park,regular
357730375,leisure,park,regular
357730375,created,09/08/1979,gnis
357730375,state_id,34,gnis
357730375,county_id,027,gnis
357730375,feature_id,880786,gnis
357736780,ele,19,regular
357736780,name,Riverbank Park,regular
357736780,leisure,park,regular
357736780,created,07/01/1981,gnis
357736780,state_id,34,gnis
357736780,county_id,017,gnis
357736780,feature_id,1989879,gnis
357737639,ele,20,regular
357737639,name,Jamesburg County Park Conservation Area,regular
357737639,leisure,park,regular
357737639,created,07/01/1981,gnis
357737639,state_id,34,gnis
357737639,county_id,023,gnis
357737639,feature_id,2041755,gnis
357739819,ele,2,regular
